"","translatedText","text"
"3341","supporting","apoiando"
"3342","approximation","aproximação"
"3343","dynamic","dinâmicos"
"3344","borders","fronteiras"
"3345","bags","bolsas"
"3346","study","estudo"
"3347","100","100"
"3348","transformers","transformadoras"
"3349","handbag","bolsa"
"3350","Spotlight","destaque"
"3351","professional","profissional"
"3352","adults","adultos"
"3353","third","terceira"
"3354","will contract","contrataremos"
"3355","3","3"
"3356","houses","moradias"
"3357","2","2"
"3358","handed out","entregues"
"3359","750","750"
"3360","their","sus"
"3361","doubt","dúvida"
"3362","brand","marca"
"3363","medical","médicos"
"3364","50","50"
"3365","vulnerable","vulneráveis"
"3366","we will persist","persistiremos"
"3367","expanding","ampliando"
"3368","University graduate","graduação"
"3369","residence","residência"
"3370","doctor","médica"
"3371","to implant","implantar"
"3372","specialties","especialidades"
"3373","resolutive","resolutivo"
"3374","timely","oportuno"
"3375","patients","pacientes"
"3376","they need","necessitem"
"3377","Query","consulta"
"3378","exams","exames"
"3379","related","respectivos"
"3380","procedures","procedimentos"
"3381","redouble","redobrar"
"3382","we will install","instalaremos"
"3383","command","comando"
"3384","police","polícias"
"3385","organs","órgãos"
"3386","we will reinforce","reforçaremos"
"3387","traffic","tráfico"
"3388","drugs","drogas"
"3389","weapons","armas"
"3390","accomplished","realizado"
"3391","propose","propor"
"3392","change","alterar"
"3393","beings","entes"
"3394","federated","federados"
"3395","to establish","estabelecer"
"3396","guidelines","diretrizes"
"3397","valid","válidas"
"3398","induce","induzir"
"3399","uniforms","uniformes"
"3400","Disseminate","disseminar"
"3401","adoption","adoção"
"3402","police officer","policial"
"3403","we invest","investimos"
"3404","abdicate","abdicar"
"3405","environmental","ambiental"
"3406","sustainability","sustentabildiade"
"3407","explicit","explicita"
"3408","deforestation","desmatamento"
"3409","code","código"
"3410","forest","florestal"
"3411","we implemented","implementamos"
"3412","register","cadastro"
"3413","car","car"
"3414","we will engage","engajaremos"
"3415","tightly","fortemente"
"3416","weather","climáticas"
"3417","contemplated","contemplados"
"3418","parameters","parâmetros"
"3419","global","globais"
"3420","reduction","redução"
"3421","emissions","emissões"
"3422","principle","princípio"
"3423","intervention","intervenção"
"3424","negotiated","negociada"
"3425","conflicts","conflitos"
"3426","we will insist","insistiremos"
"3427","organisms","organismos"
"3428","whose","cuja"
"3429","governance","governança"
"3430","correlation","correlação"
"3431","we will keep","manteremos"
"3432","Caribbean","caribe"
"3433","translate","traduzirá"
"3434","a few","unasul"
"3435","celac","celac"
"3436","ideological","ideológica"
"3437","colleagues","colegas"
"3438","rulers","governantes"
"3439","given","dada"
"3440","asians","asiáticos"
"3441","Arabic","árabe"
"3442","brics","brics"
"3443","partners","parceiros"
"3444","we will advance","avançaremos"
"3445","Implementation","implementação"
"3446","Bank","banco"
"3447","wake up","acordo"
"3448","quota","contingente"
"3449","to improve","aprimorarmos"
"3450","volume","volume"
"3451","bilateral","bilateral"
"3452","valid","válido"
"3453","fruitful","fecundos"
"3454","turned","voltados"
"3455","olympics","olimpíadas"
"3456","Cup","copa"
"3457","Show","mostrar"
"3458","beautiful","belas"
"3459","friends","amigas"
"3460","proposing","propondo"
"3461","converge","converge"
"3462","democratizing","democratizando"
"3463","truly","verdadeiramente"
"3464","reinforce","reforçar"
"3465","legitimacy","legitimidade"
"3466","fight","combater"
"3467","energetically","energicamente"
"3468","steals","rouba"
"3469","lawful","legítimo"
"3470","offends","ofende"
"3471","humiliates","humilha"
"3472","extirpated","extirpada"
"3473","I compacted","compactuei"
"3474","illicit","ilícito"
"3475","badly done","malfeito"
"3476","supported","apoiou"
"3477","severe","severas"
"3478","incisive","incisiva"
"3479","moorings","amarras"
"3480","autonomy","autonomia"
"3481","institution","instituição"
"3482","respected","respeitada"
"3483","complying","cumprindo"
"3484","roles","papéis"
"3485","to punish","punirem"
"3486","corrupt","corruptos"
"3487","corrupters","corruptores"
"3488","saw","vimos"
"3489","will win","ganhará"
"3490","I compromise","comprometo"
"3491","to submit","submeter"
"3492","appreciation","apreciação"
"3493","half","semestre"
"3494","five","cinco"
"3495","to punish","punir"
"3496","rigor","rigor"
"3497","agents","agentes"
"3498","they enrich","enriquecem"
"3499","justification","justificativa"
"3500","demonstrate","demonstrem"
"3501","Cashier","caixa"
"3502","judicial","judicial"
"3503","allow","permita"
"3504","confiscation","confisco"
"3505","acquired","adquiridos"
"3506","illicit","ilícita"
"3507","proof","comprovação"
"3508","expedite","agilizar"
"3509","judgment","julgamento"
"3510","processes","processos"
"3511","Detour","desvio"
"3512","in","dê"
"3513","agility","agilidade"
"3514","investigations","investigações"
"3515","moved","movidos"
"3516","forum","foro"
"3517","privileged","privilegiado"
"3518","essence","essência"
"3519","fast","rápidos"
"3520","punishments","punições"
"3521","hard","duras"
"3522","to attack","agredir"
"3523","contradictory","contraditório"
"3524","to mean","significar"
"3525","conviction","condenação"
"3526","Preview","prévia"
"3527","involves","envolve"
"3528","balls","esferas"
"3529","nuclei","núcleos"
"3530","made","fiz"
"3531","graduation","diplomação"
"3532","refer","referir"
"3533","petrobras","petrobras"
"3534","86","86"
"3535","employees","empregados"
"3536","dedicated","dedicados"
"3537","serious","sérios"
"3538","servers","servidores"
"3539","honor her","honrála"
"3540","achieved","atingidos"
"3541","came","vinha"
"3542","Enhancement","aprimoramento"
"3543","rigorous","rigorosa"
"3544","prospection","prospecção"
"3545","deep","profundas"
"3546","resulted","resultou"
"3547","discovery","descoberta"
"3548","exploration","exploração"
"3549","reasons","motivos"
"3550","predators","predadores"
"3551","enemies","inimigos"
"3552","investigate","apurar"
"3553","wrong","errado"
"3554","strengthen it","fortalecêla"
"3555","mechanisms","mecanismos"
"3556","avoid","evitem"
"3557","healthy","saudável"
"3558","investigate","investigar"
"3559","to allow","permitir"
"3560","hires","contrata"
"3561","invests","investe"
"3562","to know","saber"
"3563","weaken","enfraquecer"
"3564","target","alvo"
"3565","siege","cerco"
"3566","speculative","especulativo"
"3567","annoying","contrariados"
"3568","regime","regime"
"3569","content","conteúdo"
"3570","ensured","asseguraram"
"3571","oil companies","petrolíferas"
"3572","any","quaisquer"
"3573","overcome them","superálas"
"3574","worthy","dignas"
"3575","respect","respeita"
"3576","preserves","preserva"
"3577","genre","gênero"
"3578","sexuality","sexualidade"
"3579","obstinately","obstinadamente"
"3580","start","iniciar"
"3581","grounded","alicerçado"
"3582","fortification","fortalecimento"
"3583","intolerant","intolerante"
"3584","Light","leve"
"3585","robust","robusto"
"3586","works","trabalha"
"3587","let's get together","juntemos"
"3588","death","morte"
"3589","exponent","exopositora"
"3590","caused","provocou"
"3591","left","deixou"
"3592","revenge","revanchismo"
"3593","destroyed","destruiu"
"3594","excited","emociono"
"3595","survivor","sobrevivente"
"3596","I faced","enfrentei"
"3597","diseases","doenças"
"3598","winner","vencedora"
"3599","accomplish","realizar"
"3600","features","características"
"3601","approach","aproximam"
"3602","victorious","vitorioso"
"3603","abdicate","abdica"
"3604","placed","colocou"
"3605","full","cheio"
"3606","sang","cantava"
"3607","valiant","valente"
"3608","controls","controla"
"3609","shoots","dispara"
"3610","proclaim","proclamar"
"3611","key","chave"
"3612","vanquish them","vencêlas"
"3613","summarized","resumida"
"3614","verse","verso"
"3615","prayer","oração"
"3616","thanks","obrigada"
"3617","night","noite"
"3618","transparent","transparente"
"3619","join","unir"
"3620","shoulders","ombros"
"3621","we received","recebemos"
"3622","layered","mergulhado"
"3623","serious","grave"
"3624","unemployed","desempregados"
"3625","170","170"
"3626","rescue","resgatar"
"3627","rails","trilhos"
"3628","I highlight","destaco"
"3629","legal","jurídica"
"3630","pacification","pacificação"
"3631","indebted","endividada"
"3632","expenses","despesas"
"3633","pay","pagar"
"3634","debts","dívidas"
"3635","first","primeiras"
"3636","impose","impor"
"3637","spending","gastos"
"3638","we forward","encaminhamos"
"3639","amendment","emenda"
"3640","spend","gastar"
"3641","arrecada","arrecada"
"3642","we reduced","reduzimos"
"3643","ministries","ministérios"
"3644","decreasing","diminuindo"
"3645","payment","pagamento"
"3646","retirements","aposentadorias"
"3647","reform","reformar"
"3648","retired","aposentados"
"3649","you pay","pagas"
"3650","short","calotes"
"3651","tricks","truques"
"3652","protect","proteja"
"3653","challenger","desafiador"
"3654","comfort","conforta"
"3655","worse","pior"
"3656","passed on","passou"
"3657","signal","sinalizam"
"3658","investors","investidores"
"3659","bring","trazer"
"3660","politics","politica"
"3661","modernize","modernizar"
"3662","agile","ágil"
"3663","entrepreneur","empreendedor"
"3664","better","melhorem"
"3665","expedite","agilizem"
"3666","we increased","aumentamos"
"3667","revitalized","revitalizado"
"3668","we double","dobramos"
"3669","average","média"
"3670","we decided","decidimos"
"3671","conclude","concluir"
"3672","five hundred","quinhentas"
"3673","we found","encontramos"
"3674","unfinished","inacabadas"
"3675","we possess","possuímos"
"3676","natural","naturais"
"3677","lush","exuberante"
"3678","knows","conhece"
"3679","willing","dispostas"
"3680","wake up","acordar"
"3681","to sleep","dormir"
"3682","micros","micros"
"3683","games","jogos"
"3684","olympic","olímpicos"
"3685","rescued","resgataram"
"3686","self esteem","autoestima"
"3687","around","redor"
"3688","witnessed","testemunharam"
"3689","applauded","aplaudiram"
"3690","event","evento"
"3691","sporting","esportivo"
"3692","Paralympics","paraolimpíadas"
"3693","success","sucesso"
"3694","challenge","desafiam"
"3695","face","encaro"
"3696","deliver","entregar"
"3697","successor","sucessor"
"3698","reconciled","reconciliado"
"3699","pacified","pacificado"
"3700","dialogue","dialogar"
"3701","legislative","legislativo"
"3702","firing","despeço"
"3703","remembering","lembrando"
"3704","they walk","caminham"
"3705","changes","muda"
