"","translatedText","text"
"580","we paid price daring helping others country get here","pagamos  preço   ousadia ajudando  outros  país chegar  aqui"
"581","comrades tumbled on this treacherous journey eternal memory homage","companheiros   tombaram nessa caminhada  comovida homenagem   eterna lembrança"
"582","dear Brazilian Brazilians we have done last eight years still do","queridas brasileiras  queridos brasileiros     fizemos   últimos oito anos  ainda    fazer"
"583","believe we can make better brazilian people brought moment","acreditar   podemos fazer   melhor   povo brasileiro  trouxe   momento"
"584","now it's time","agora é hora  trabalho"
"585","now it's time union","agora é hora  união"
"586","education","união  todos   educação  crianças   jovens"
"587","union health quality all","união  saúde  qualidade  todos"
"588","security","união  segurança   comunidades"
"589","union brazil continue growing generating jobs","união   brasil continuar crescendo gerando empregos"
"590","union brazil continue growing generating jobs current future generations","união   brasil continuar crescendo gerando empregos   atuais    futuras gerações"
"591","finally creating better opportunities for all","união enfim  criar   melhores oportunidades  todos"
"592","dream is dream any citizen citizen dream mother father can offer children opportunities better lives","sonho é   sonho  qualquer cidadão  cidadã  sonho    mãe   pai possam oferecer   filhos oportunidades melhores         vidas"
"593","it's dream builds country family nation","é  sonho  constrói  país  família  nação"
"594","it is challenge country","é  desafio  ergue  país"
"595","I presented a little message","apresentei  pouco  mensagem   princípios  compromissos  congresso"
"596","there are objective goals there are dreams","ali existem metas  objetivos   existem sonhos"
"597","I think it's good.","acho bom   assim"
"598","govern country continental country size Brazil must have dreams","governar  país  país continental  tamanho  brasil é  preciso ter sonhos"
"599","you must have great dreams after","é preciso ter grandes sonhos  perseguilos"
"600","Believing there was no President Lula has made so much country in recent years","acreditar  havia  impossível   presidente lula fez tanto  país nesses últimos anos"
"601","dream chase dreams is exactly break possible limit","sonhar  perseguir  sonhos é exatamente romper  limite  possível"
"602","consolidate to advance great recent achievements will need support all","consolidar  avançar  grandes conquistas recentes precisarei   apoio  todos"
"603","I want to ask for support all east west north south country","quero pedir  apoio  todos  leste  oeste  norte  sul   país"
"604","I'm going to be working well Brazil solitude amazon northeastern corner immensity cerrado vastness pampas","vou estar  lado   trabalham  bem  brasil  solidão  amazonas  rincões  nordeste  imensidão  cerrado  vastidão  pampas"
"605","we all work brazil brazil will return double effort","todos trabalharmos  brasil  brasil  devolverá  dobro   esforço"
"606","Brazil is a generous land","brasil é  terra generosa"
"607","all planted loving hands look future harvested abundance joy","tudo   plantado  mãos carinhosas  olhar   futuro  colhido  abundância  alegria"
"608","God bless Brazil, the Brazilian people.","deus abençoe  brasil   povo brasileiro"
"609","Together we can build world peace.","todos  juntos possamos construir  mundo  paz"
"610","I want at this moment to say I will give every effort all dedication make transformations we have begun in the last eight years continue to continue because brazilian people country conditions today transform greater better live country","quero neste momento dizer     darei todo   empenho toda   dedicação  fazer    transformações   começamos nesses últimos oito anos continuem prossigam   expandam porque  povo brasileiro    país  condições hoje   transformar  maior   melhor país   viver"
"611","embrace all men brazil women","abraço  todos homens  mulheres   brasil"
"612","senate, president, senate, federal, president, michel temer, president, gentlemen, gentlemen, lord, gentlemen, gentlemen, lord, president, heads, heads, government, vicerofes, government, vicechefes, government, honor, presences here today","senhoras  senhores senhor presidente  senado federal renan calheiros senhor vicepresidente  república michel temer senhor presidente  câmara  deputados henrique eduardo alves senhoras  senhores chefes  estado chefes  governo vicechefes  estado  vicechefes  governo   honram   presenças aqui hoje"
"613","mr president supreme court federal minister ricardo lewandowski gentlemen lords chiefs foreign missions ambassadors accredited together government ladies ladies ministers state ladies ladies senators senators ladies ladies federal gentlemen ladies representatives representatives press brazilian brazilians","senhor presidente  supremo tribunal federal ministro ricardo lewandowski senhores  senhores chefes  missões estrangeiras  embaixadores acreditados junto   governo senhoras  senhores ministros  estado senhoras  senhores governadores senhoras  senhores senadores senhoras  senhores deputados federais senhoras  senhores representantes  imprensa  queridos brasileiros  brasileiras"
"614","I return home full soul joy responsibility hope","volto   casa   alma cheia  alegria  responsabilidade  esperança"
"615","I feel joy to have won challenges honored Brazilian woman's name","sinto alegria  ter vencido  desafios  honrado  nome  mulher brasileira"
"616","name million women warriors anonymous women come back to occupy incarnated figure high rank of this great nation","nome  milhões  mulheres guerreiras mulheres anônimas  voltam  ocupar encarnadas   figura   alto posto dessa  grande nação"
"617","Incarnation of another collective soul still extends hope responsibility","encarno  outra alma coletiva  amplia ainda    responsabilidade    esperança"
"618","nation project is deep enduring support popular democratic history","projeto  nação  é detentor   profundo  duradouro apoio popular   história democrática"
"619","project nation triumphed remains due great results achieved now because people understood is collective long-term project","projeto  nação triunfou  permanece devido  grandes resultados  conseguiu  agora   porque   povo entendeu   é  projeto coletivo   longo prazo"
"620","project belongs to brazilian people is never Brazilian people brazilian people let's govern","projeto pertence  povo brasileiro     nunca é   povo brasileiro    povo brasileiro  vamos governar"
"621","started extraordinary work initiated government president lula continued today first generation Brazilians experienced tragedy hunger","partir  extraordinário trabalho iniciado  governo  presidente lula continuado    hoje  primeira geração  brasileiros   vivenciou  tragédia  fome"
"622","we rescued 36 million extreme poverty 22 million only first government","resgatamos 36 milhões  extrema pobreza  22 milhões apenas   primeiro governo"
"623","never so many Brazilians ascended middle classes","nunca tantos brasileiros ascenderam  classes médias"
"624","never so many Brazilians have won so many jobs","nunca tantos brasileiros conquistaram tantos empregos  carteira assinada"
"625","never too much minimum wage salaries valued so much time so much vigor","nunca  salário mínimo   demais salários  valorizaram  tanto tempo   tanto vigor"
"626","never have so many Brazilians made their own homes","nunca tantos brasileiros  tornaram donos   próprias casas"
"627","never so many Brazilians access technical education university","nunca tantos brasileiros  acesso  ensino técnico   universidade"
"628","Brazil never lived so long institutional crises","nunca  brasil viveu  período tão longo  crises institucionais"
"629","never so strengthened institutions respected never learned punished so much transparency corruption","nunca  instituições  tão fortalecidas  respeitadas  nunca  apurou  puniu  tanta transparência  corrupção"
"630","governments we fulfill fundamental commitment offer huge population excluded people excluded basic rights must be ensured any citizen right work food family educate believe future better children","governos cumprimos  compromisso fundamental  oferecer   população enorme  excluídos  pessoas excluídas  direitos básicos  devem ser assegurados  qualquer cidadão  direito  trabalhar  alimentar   família  educar  acreditar   futuro melhor   filhos"
"631","so much population so little became little known at last governments respect respects really try to protect it","tanto   população   tão pouco tornou pouco   população  conheceu enfim governos  respeitam    respeitam   realmente  esforçam  protegêla"
"632","population wanted to stay because it saw result work understood limitations time imposed concluded we can do","população quis  ficássemos porque viu  resultado   trabalho compreendeu  limitações   tempo  impôs  concluiu  podemos fazer"
"633","Brazilian people sent a message of recognition","recado   povo brasileiro  mandou     reconhecimento   confiança    recado   quer   melhor"
"634","repeated word campaign change theme invoked reform","palavra  repetida  campanha  mudança   tema  invocado  reforma"
"635","I repeat today on this solemn inauguration before ladies sirs reappointed presidency continue great changes I will bring traitori","repito hoje nesta solenidade  posse perante  senhoras   senhores  reconduzida  presidência  continuar  grandes mudanças  país   trairei  chamado"
"636","Brazilian people want changes either to advance","povo brasileiro quer mudanças quer avançar  quer"
"637","and I want","é     quero"
"638","I will do fearlessness humility counting support of this house Brazilian people force","é   vou fazer  destemor   humildade contando   apoio desta casa    força  povo brasileiro"
"639","act ownership is before all ceremony reaffirmation enlargement commitments","ato  posse é antes  tudo  cerimônia  reafirmação  ampliação  compromissos"
"640","is inauguration new stage in this historical process social changes brazil","é  inauguração   nova etapa neste processo histórico  mudanças sociais  brasil"
"641","I make a point of renewing this house commitment permanent defense stubborn constitution individual liberties democratic rights broad freedom expression human rights","faço questão   renovar nesta casa  compromisso  defesa permanente  obstinada  constituição  leis  liberdades individuais  direitos democráticos   ampla liberdade  expressão   direitos humanos"
"642","Dear Brazilian Brazilians First Mandate Brazil has achieved historic achievement We overcome extreme poverty","queridos brasileiros  brasileiras   primeiro mandato  brasil alcançou  feito histórico superamos  extrema pobreza"
"643","said I know it's conviction expectation all Brazilians misery end is just beginning","disse   sei  é  convicção   expectativa  todos  brasileiros   fim  miséria é apenas  começo"
"644","now it's time to pursue new project goals","agora é  hora  prosseguir    projeto  novos objetivos"
"645","It's time to improve.","é hora  melhorar    bom corrigir   é preciso  fazer    povo espera"
"646","yes this time instead simply guarantee minimum necessary case long story now fight offer maximum possible","sim neste momento  invés  simplesmente garantir  mínimo necessário    caso  longo   história  agora  lutar  oferecer  máximo possível"
"647","we will need government society patience courage persistence balance humility overcome obstacles","vamos precisar governo  sociedade  paciência coragem persistência equilíbrio  humildade  vencer  obstáculos"
"648","we will overcome obstacles","venceremos  obstáculos"
"649","Brazilian people want to democratize every time income knowledge power","povo brasileiro quer democratizar cada vez   renda  conhecimento   poder"
"650","Brazilian people want education health safety quality","povo brasileiro quer educação saúde  segurança   qualidade"
"651","Brazilian people still want transparency Transparency fight all types crimes especially corruption still wants strong arm justice reach all egalitarian form","povo brasileiro quer ainda  transparência   combate  todos  tipos  crimes especialmente  corrupção  quer ainda   braço forte  justiça alcance  todos  forma igualitária"
"652","fear facing challenges because I know I'm going to face them alone I'll face fight alone","medo  encarar  desafios  porque sei   vou enfrentálos sozinha  vou enfrentar  luta sozinha"
"653","I know tale support ladies ladies parliamentarians legitimate representatives people in this national congress","sei  conto   apoio  senhores   senhoras parlamentares legítimos representantes  povo neste congresso nacional"
"654","I know I count support, my dear Vice President, michel fear partner, all hours","sei  conto   apoio   querido vicepresidente michel temer parceiro  todas  horas"
"655","I know tale effort men women judiciary","sei  conto   esforço  homens  mulheres  judiciário"
"656","I know tale strong support allied base every party leadership base ministers ministers will be leaving today working side brazil","sei  conto   forte apoio   base aliada  cada liderança partidária   base    ministros   ministras  estarão  partir  hoje trabalhando   lado  brasil"
"657","I support each militant party militant party every party allied base represented here featured militant leader popular leader history president luiz inacio lula silva","sei  conto   apoio  cada militante   partido  pt   militância  cada partido  base aliada representados aqui   destacado militante  maior líder popular   história  presidente luiz inácio lula  silva"
"658","I know tale support social movements unions I know how willing to mobilize all Brazilian people in this new effort tornado beloved Brazil","sei  conto   apoio  movimentos sociais   sindicatos  sei  quanto  disposta  mobilizar todo  povo brasileiro nesse esforço   nova arrancada   querido brasil"
"659","thus we prove it is possible to grow distribute income we will prove can make adjustments economy revoke rights conquered betray social commitments assumed","assim  provamos  é possível crescer  distribuir renda vamos provar   pode fazer ajustes  economia  revogar direitos conquistados  trair compromissos sociais assumidos"
"660","we will prove to make social policies surprised the world it is possible to correct any distortions make them even better","vamos provar    fazermos políticas sociais  surpreenderam  mundo é possível corrigir eventuais distorções  tornálas ainda melhores"
"661","it is imperative to implement healthy modern ethical policy practices","é inadiável  implantarmos práticas políticas  modernas éticas      saudáveis"
"662","political reform is urgently needed","é   torna urgente  necessária  reforma política"
"663","deep reform is constitutional responsibility of this house must mobilize every society seeks new methods new democratic life paths","reforma profunda  é responsabilidade constitucional desta casa   deve mobilizar toda  sociedade  busca  novos métodos  novos caminhos   vida democrática"
"664","political reform stimulate Brazilian people resume taste political admiration","reforma política  estimule  povo brasileiro  retomar  gosto   admiração  política"
"665","dear Brazilian Brazilians at this time solemn possession is important detail some concrete actions attitudes will guide second term","queridas brasileiras  queridos brasileiros  neste momento solene  posse é importante   detalhe algumas ações  atitudes concretas  vão nortear  segundo mandato"
"666","changes country waiting next four years depend stability credibility economy","mudanças   país espera   próximos quatro anos dependem   estabilidade   credibilidade  economia"
"667","everyone is new","todos  é novidade"
"668","always oriented actions conviction about value economic stability centrality control inflation imperative fiscal discipline need to win deserve trust workers entrepreneurs","sempre orientei  ações  convicção sobre  valor  estabilidade econômica  centralidade  controle  inflação   imperativo  disciplina fiscal   necessidade  conquistar  merecer  confiança  trabalhadores   empresários"
"669","international environment extreme instability economic uncertainty respect economic fundamentals allowed to reap positive results","meio   ambiente internacional  extrema instabilidade  incerteza econômica  respeito   fundamentos econômicos  permitiu colher resultados positivos"
"670","all years first mandate inflation remained below target ceiling so will continue","todos  anos   primeiro mandato  inflação permaneceu abaixo  teto  meta  assim vai continuar"
"671","worry","economia      preocupar      comemorar"
"672","brazil is today 7th economy world 2nd largest agricultural exporting producer 3rd largest exporter ores 5th country attracts foreign investments 7th country accumulation exchange reserves 3rd largest internet user","brasil é hoje  7ª economia  mundo  2º maior produtor  exportador agrícola  3º maior exportador  minérios  5º país   atrai investimentos estrangeiros  7º país  acúmulo  reservas cambiais   3º maior usuário  internet"
"673","in addition it is important to note net debt public sector is now lower beginning mandate","além disso é importante notar   dívida líquida  setor público é hoje menor    início   mandato"
"674","international reserves historical floor house US $ 370 billion","reservas internacionais   patamar histórico  casa  us 370 bilhões"
"675","foreign direct investment reached record highs in recent years","investimentos estrangeiros diretos atingiram  últimos anos volumes recordes"
"676","important unemployment rate lower experienced levels country history","importante  taxa  desemprego   menores patamares  vivenciados  história   país"
"677","we generate 5 million 800 thousand formal jobs world submergia unemployment","geramos 5 milhões  800 mil empregos formais   período    mundo submergia  desemprego"
"678","but we want to move forward we still need to make a better new mandate let's create a half action firm sober firm sober economy environment still favorable business productive activity investment innovation competitiveness sustainable growth","porém queremos avançar ainda   precisamos fazer   melhor             novo mandato vamos criar  meio  ação firme  sóbria firme  sóbria  economia  ambiente ainda  favorável  negócios  atividade produtiva  investimento  inovação  competitividade   crescimento sustentável"
"679","will fight truce bureaucracy","combateremos  trégua  burocracia"
"680","everything is important priority maintenance employment valuation especially valorization minimum wage we will continue to ensure","tudo  voltado    é  importante   prioritário  manutenção  emprego   valorização  especialmente  valorização  salário mínimo  continuaremos assegurando"
"681","No one knows Brazil needs to grow back.","ninguém sei   brasil precisa voltar  crescer"
"682","first steps of this walk pass adjustment public accounts increase domestic savings magnification investment raise productivity economy","primeiros passos desta caminhada passam   ajuste  contas públicas  aumento  poupança interna  ampliação  investimento   elevação  produtividade  economia"
"683","we will make smaller sacrifice possible special population in need","faremos    menor sacrifício possível   população  especial    necessitados"
"684","I reaffirm deep commitment maintenance all rights labor social security","reafirmo  profundo compromisso   manutenção  todos  direitos trabalhistas  previdenciários"
"685","awareness expansion sustainability social policies requires fairness permanent correction distortions eventual excesses","consciência   ampliação   sustentabilidade  políticas sociais exige equidade  correção permanente  distorções  eventuais excessos"
"686","we will defeat false thesis affirms existence conflict economic economic growth investment social social investment investment infrastructure","vamos   vez derrotar  falsa tese  afirma existir  conflito   estabilidade econômica   crescimento  investimento social  ganhos sociais   investimento  infraestrutura"
"687","talk challenges economy make let word millions micro small entrepreneurs Brazil","falar  desafios   economia faço questão  deixar  palavra  milhões  micro  pequenos empreendedores  brasil"
"688","first term","primeiro mandato aprimoramos  universalizamos  simples  ampliamos  oferta  crédito   pequenos empreendedores"
"689","In this new mandate, I want to","quero neste novo mandato avançar ainda"
"690","I intend to forward national congress bill law creating mechanism transition categories simple too tax regimes","pretendo encaminhar  congresso nacional  projeto  lei criando  mecanismo  transição   categorias  simples   demais regimes tributários"
"691","let's end tributary abyss makes small businesses afraid to grow","vamos acabar   abismo tributário  faz  pequenos negócios terem medo  crescer"
"692","we know small business grows country grows","sabemos    pequeno negócio  cresce  país   cresce"
"693","we will also dedicate further competitiveness to companies","dedicaremos ainda  ampliar  competitividade   país    empresas"
"694","we will prioritize development science technology innovation stimulating strengthening partnerships productive sector centers research universities","daremos prioridade  desenvolvimento  ciência  tecnologia   inovação estimulando  fortalecendo  parcerias   setor produtivo   centros  pesquisa  universidades"
"695","brasil competitive emerging from massive investments infrastructure energy logistics","brasil  competitivo  nascendo   partir  maciços investimentos  infraestrutura energia  logística"
"696","since 2007 two issues program acceleration growth pac1 pac2 totaled about r 1 trillion 600 billion investments thousands kms highways railways works ports waterway terminals airports","desde 2007  duas edições  programa  aceleração  crescimento   pac1   pac2   totalizaram cerca  r 1 trilhão  600 bilhões  investimentos  milhares  kms  rodovias ferrovias  obras  portos  terminais hidroviários   aeroportos"
"697","expansion generation network transmission energy","expansão  geração   rede  transmissão  energia"
"698","works sanitation connections energy light all","obras  saneamento  ligações  energia  luz  todos"
"699","program investments logistic demos step forward we build partnerships private sector implementing new model concessions accelerated expansion allowed leap quality logistics","programa  investimentos  logística demos  passo adiante construímos parcerias   setor privado implementando  novo modelo  concessões  acelerou  expansão  permitiu  salto  qualidade   logística"
"700","we guarantee concessions airports thousands km highway authorization terminals private ports","asseguramos concessões  aeroportos   milhares  km  rodovia   autorização  terminais privados  portos"
"701","now we are going to launch 3rd pac 3rd program acceleration growth second program logistics investment","agora vamos lançar  3º pac  3º programa  aceleração  crescimento   segundo programa  investimento  logística"
"702","so we will start 2015 we will start implementing new portfolio investment logistics energy urban social infrastructure combining public investment above all private partnerships","assim  partir  2015 iniciaremos  implantação   nova carteira  investimento  logística energia infraestrutura social  urbana combinando investimento público  sobretudo parcerias privadas"
"703","we will improve models regulation market guarantee private market credit long term example expand","vamos aprimorar  modelos  regulação  mercado garantir   mercado privado  crédito  longo prazo  exemplo  expanda"
"704","guarantee","garantir    sustentação   projetos  financiamento  grande vulto"
"705","I also reaffirm the commitment to support states and municipalities so desired expansion infrastructure transport collective cities","reafirmo ainda  compromisso  apoiar estados  municípios  tão desejada expansão  infraestrutura  transporte coletivo   cidades"
"706","progress reality portfolio r 143 billion works urban mobility all brazil","andamento  realidade  carteira  r 143 bilhões  obras  mobilidade urbana  todo  brasil"
"707","in this new mandate we will give special attention to infrastructure will lead Brazil future network internet broadband","assinalo  neste novo mandato daremos especial atenção  infraestrutura  vai  conduzir  brasil  futuro  rede  internet  banda larga"
"708","2014 joint effort national congress demos brazil modern legislations world area internet civil internet","2014   esforço conjunto   congresso nacional demos  brasil   legislações  modernas  mundo  área  internet  marco civil  internet"
"709","I reiterate here commitment next four years promote universalization access internet service broadband cheap fast insurance","reitero aqui  compromisso   próximos quatro anos promover  universalização  acesso   serviço  internet  banda larga barato rápido  seguro"
"710","I would like to reaffirm the commitment to continue reducing regional imbalances by boosting cross-cutting policies structuring projects especially northeast amazon region","quero reafirmar ainda  compromisso  continuar reduzindo  desequilíbrios regionais impulsionando políticas transversais  projetos estruturantes especialmente  nordeste   região  amazônia"
"711","decisive mitigate the impact of this prolonged semiarid drought northeastern important conclusion new transforming infrastructure water resources perennial 1","decisivo mitigar  impacto desta prolongada seca  semiárido nordestino   importante   conclusão  nova  transformadora infraestrutura  recursos hídricos perenizando   1"
"712","000 km rivers combined major social investment million cisterns","000 km  rios combinada   importante investimento social     milhão  cisternas"
"713","ladies gentlemen would like to announce now new government motto","senhoras  senhores  gostaria  anunciar agora  novo lema   governo"
"714","It's simple, it's direct and it's mobilizing.","é simples é direto  é mobilizador"
"715","reflects clarity great priority signals sector must converge effort all areas government","reflete  clareza     grande prioridade  sinaliza   setor deve convergir  esforço  todas  áreas  governo"
"716","Tag Fight","lema  brasil pátria educadora          trata  lema  duplo significado"
"717","We should seek all actions government sense trainer practice citizen commitment ethics feeling republican","bradarmos brasil pátria educadora  dizendo   educação   prioridade  prioridades    devemos buscar  todas  ações  governo  sentido formador  prática cidadã  compromisso  ética   sentimento republicano"
"718","education liberates people opens doors future prosperous","educação liberta  povo   abre  portas   futuro próspero"
"719","democratizing knowledge means universalizing access quality education all levels - day care postgraduate means taking all segments population - marginalized black women all brazilian education quality","democratizar  conhecimento significa universalizar  acesso   ensino  qualidade  todos  níveis –  creche  pósgraduação significa  levar  todos  segmentos  população –   marginalizados  negros  mulheres   todos  brasileiros  educação  qualidade"
"720","During this new mandate, education will begin to receive expressive funds from the royalties","longo deste novo mandato  educação começará  receber volumes  expressivos  recursos oriundos  royalties  petróleo   fundo social  présal"
"721","so political determination will add up investment resources","assim   determinação política  somarão  recursos   investimentos"
"722","we will continue expanding access preschool day care guaranteeing all fulfillment meta universalizar 2016 access all children 4 5 years preschool","vamos continuar expandindo  acesso  creches  préescolas garantindo  todos  cumprimento  meta  universalizar  2016  acesso  todas  crianças  4  5 anos  préescola"
"723","we will give sequence implementation literacy age certain education full time","daremos sequência  implantação  alfabetização  idade certa   educação  tempo integral"
"724","condition emphasis effective middle school because through we will seek partnership states to effect curricular changes to improve teacher training","condição     ênfase  ensino médio  efetiva porque através  buscaremos  parceria   estados efetivar mudanças curriculares  aprimorar  formação  professores"
"725","we know is fragile educational system area","sabemos   é  área frágil   sistema educacional"
"726","pronatec will offer 2018 12 million vacancies young workers workers opportunities to win better jobs can contribute still increase competitiveness brazilian economy","pronatec oferecerá  2018 12 milhões  vagas    jovens trabalhadores  trabalhadoras   oportunidades  conquistar melhores empregos  possam contribuir ainda    aumento  competitividade  economia brasileira"
"727","I will give special attention pronatec young apprentice will allow micro small companies to hire young act establishment","darei especial atenção  pronatec jovem aprendiz  permitirá  micro  pequenas empresas contratarem  jovem  atuar   estabelecimento"
"728","we will continue supporting universities stimulating dynamic sectors approach economy society","vamos continuar apoiando  universidades  estimulando  aproximação   setores  dinâmicos   economia    sociedade"
"729","science boundaries will continue guaranteeing scholarships study world's best universities 100 thousand young Brazilians","ciência  fronteiras vai continuar garantindo bolsas  estudo  melhores universidades  mundo  100 mil jovens brasileiros"
"730","dear Brazilians Brazilians will continue to lead country world social transformative policies","queridas  queridos brasileiros  brasileiras   brasil vai continuar   país líder  mundo  políticas sociais transformadoras"
"731","beneficiaries Bolsa Familia will continue to ensure access to social policies new income opportunities","beneficiários  bolsa família continuaremos assegurando  acesso  políticas sociais   novas oportunidades  renda"
"732","emphasis on vocational training adult beneficiaries education young children","destaque  dado  formação profissional  beneficiários adultos   educação  crianças   jovens"
"733","third phase home life we will hire 3 million new housing adds 2 million housing delivered 2014 1 million 750 thousand housing construction delivered in this second term","terceira fase   casa  vida contrataremos  3 milhões  novas moradias   somam  2 milhões  moradias entregues  2014   1 milhão  750 mil moradias    construção    entregues neste segundo mandato"
"734","health reaffirm commitment to strengthen","saúde reafirmo  compromisso  fortalecer  sus"
"735","doubt mark strong government first mandate implantation doctors led basic care health 50 million Brazilian vulnerable areas country","dúvida  marca  forte   governo  primeiro mandato   implantação   médicos  levou  atendimento básico  saúde    50 milhões  brasileiros  áreas  vulneráveis   país"
"736","we will continue to expand vacancies graduation medical residency every time young Brazilians can make doctors assure Brazilian people care","persistiremos ampliando  vagas  graduação   residência médica   cada vez  jovens brasileiros possam  tornar médicos  assegurar atendimento  povo brasileiro"
"737","in this second term I will implement specialties to guarantee access timely timely patients need specialist consultation procedures","neste segundo mandato vou implantar   especialidades  garantir  acesso resolutivo   tempo oportuno  pacientes  necessitem  consulta  especialista exames   respectivos procedimentos"
"738","I assume all Brazilian Brazilians commitment redouble efforts change framework public safety country","assumo  todas  brasileiras  brasileiros  compromisso  redobrar  esforços  mudar  quadro  segurança pública   país"
"739","we will install centers command control all capitals expanding capacity action police integration agencies intelligence forces public security","instalaremos centros  comando  controle  todas  capitais ampliando  capacidade  ação   polícias   integração  órgãos  inteligência   forças  segurança pública"
"740","actions border borders combat trafficking drugs arms strategic program boundaries partnership partnership armed forces federal police ministry defense ministry justice","reforçaremos  ações    presença  fronteiras   combate  tráfico  drogas   armas   programa estratégico  fronteiras realizado  parceria   forças armadas   polícias federais   ministério  defesa   ministério  justiça"
"741","I will mainly propose national congress change federal constitution treat public safety common activity all federated entities allowing union establish guidelines general rules valid throughout national territory induce uniform policies country disseminate adoption good practices police area","vou sobretudo propor  congresso nacional alterar  constituição federal  tratar  segurança pública  atividade comum  todos  entes federados permitindo  união estabelecer diretrizes  normas gerais válidas  todo  território nacional  induzir políticas uniformes  país  disseminar  adoção  boas práticas  área policial"
"742","ladies and gentlemen, we invested every country abdicate moment commitment environmental sustainability environmental sustainability development","senhoras  senhores  investimos    todo  país  abdicar   momento   compromisso   sustentabilidade ambiental  sustentabildiade ambiental   desenvolvimento"
"743","given explicit commitment we achieved four years first mandate four lower deforestation rates amazon","dado explicita  compromisso alcançamos  quatro anos   primeiro mandato  quatro menores taxas  desmatamento  amazônia"
"744","last 4 years national congress approved new forest code we implemented environmental registry rural car","últimos 4 anos  congresso nacional aprovou  novo código florestal  implementamos  cadastro ambiental rural  car"
"745","we will deepen modernization environmental legislation starting this year we will strongly engage international climate negotiations interests contemplated process establishment global parameters reduction emissions","vamos aprofundar  modernização   legislação ambiental    partir deste ano  engajaremos fortemente  negociações climáticas internacionais    interesses  contemplados  processo  estabelecimento  parâmetros globais  redução  emissões"
"746","sovereign insertion international politics will continue to be marked defense democracy principle intervention respect sovereignty nations negotiated solution conflicts defense human rights combat poverty inequalities preservation environment multilateralism","inserção soberana  política internacional continuará sendo marcada  defesa  democracia  princípio  intervenção  respeito  soberania  nações  solução negociada  conflitos  defesa  direitos humanos   combate  pobreza   desigualdades  preservação  meio ambiente   multilateralismo"
"747","we will insist on reform major multilateral agencies whose governance today reflects current global forces correlation","insistiremos  luta  reforma  principais organismos multilaterais cuja governança hoje  reflete  atual correlação  forças global"
"748","we will maintain priority america south america latin caribbean will translate commitment strengthen mercosul unasul community countries latin america caribbean celib discrimination ideological order","manteremos  prioridade  américa  sul américa latina  caribe   traduzirá  empenho  fortalecer  mercosul  unasul   comunidade  países  américa latina   caribe celac  discriminação  ordem ideológica"
"749","thank you including presence dear colleagues latin america here","agradeço inclusive  presença   queridos colegas  governantes  américa latina aqui presentes"
"750","same form given emphasis relations africa asian countries arab world","mesma forma  dada ênfase   relações   áfrica   países asiáticos    mundo árabe"
"751","brics global strategic partners china india russia south africa - we will advance trade scientific technological partnership diplomatic actions implementation bank development brics implementation agreement contingent reserves","brics  parceiros estratégicos globais  china índia rússia  áfrica  sul – avançaremos  comércio  parceria científica  tecnológica  ações diplomáticas   implementação  banco  desenvolvimento  brics   implementação   acordo contingente  reservas"
"752","it is of great relevance to improve relations united states economic importance political science technological speak bilateral trade volume","é  grande relevância aprimorarmos  relacionamento   estados unidos   importância econômica política científica  tecnológica  falar  volume   comércio bilateral"
"753","it is valid relations european union japan what fertile ties","é válido   relações   união européia    japão   quais  laços fecundos"
"754","2016 eyes world will turn turned brazil achievement olympics","2016  olhos  mundo estarão   vez voltados   brasil   realização  olimpíadas"
"755","we are going to show organization capacity brazil now beautiful cities world rio janeiro","certeza    vez  aconteceu  copa vamos mostrar  capacidade  organização  brasil  agora    belas cidades  mundo   rio  janeiro"
"756","friends friends saying everything proposing converge great goal magnify strengthen democracy democratizing truly power","amigos  amigas  tudo   dizendo tudo   propondo converge   grande objetivo ampliar  fortalecer  democracia democratizando verdadeiramente  poder"
"757","democratizing power means fighting reform politics listen attention society social movements seek opinion people reinforce legitimacy executive actions","democratizar  poder significa lutar  reforma política ouvir  atenção  sociedade   movimentos sociais  buscar  opinião  povo  reforçar  legitimidade  ações  executivo"
"758","democratizing power means vigorously combating corruption","democratizar  poder significa combater energicamente  corrupção"
"759","corruption steals legitimate power people","corrupção rouba  poder legítimo  povo"
"760","corruption offends humiliated honest honest Brazilian business workers","corrupção ofende  humilha  trabalhadores  empresários   brasileiros honestos   bem"
"761","corruption must be extirpated","corrupção deve ser extirpada"
"762","Brazil knows I never compacted any illicit","brasil sabe  jamais compactuei  qualquer ilícito  malfeito"
"763","government supported combat corruption corruption creation laws severe action incisive free moorings organs internal control absolute autonomy federal police institution state independence always respected before public ministry","governo     apoiou  combate  corrupção  meio  criação  leis  severas  ação incisiva  livre  amarras  órgãos  controle interno  absoluta autonomia  polícia federal  instituição  estado   independência sempre respeitada diante  ministério público"
"764","justice governments will be fulfilling roles hopes to punish exemplarly corrupt corruptors","governos   justiça estarão cumprindo  papéis   espera   punirem exemplarmente  corruptos   corruptores"
"765","fight we have been undertaking against corruption mainly against impunity will still gain strength package measures compromised during campaign commitment to submit national congress appreciation still in this first semester","luta  vimos empreendendo contra  corrupção  principalmente contra  impunidade ganhará ainda  força   pacote  medidas   comprometi durante  campanha   comprometo  submeter  apreciação  congresso nacional ainda neste primeiro semestre"
